country_id,country,last_update,
1,Afghanistan,15-02-06 4:44,
2,Algeria,15-02-06 4:44,
3,American Samoa,15-02-06 4:44,
4,Angola,15-02-06 4:44,
5,Anguilla,15-02-06 4:44,
6,Argentina,15-02-06 4:44,
7,Armenia,15-02-06 4:44,
8,Australia,15-02-06 4:44,
9,Austria,15-02-06 4:44,
10,Azerbaijan,15-02-06 4:44,
11,Bahrain,15-02-06 4:44,
12,Bangladesh,15-02-06 4:44,
13,Belarus,15-02-06 4:44,
14,Bolivia,15-02-06 4:44,
15,Brazil,15-02-06 4:44,
16,Brunei,15-02-06 4:44,
17,Bulgaria,15-02-06 4:44,
18,Cambodia,15-02-06 4:44,
19,Cameroon,15-02-06 4:44,
20,Canada,15-02-06 4:44,
21,Chad,15-02-06 4:44,
22,Chile,15-02-06 4:44,
23,China,15-02-06 4:44,
24,Colombia,15-02-06 4:44,
25,Congo\ The Democratic Republic of the,15-02-06 4:44,
26,Czech Republic,15-02-06 4:44,
27,Dominican Republic,15-02-06 4:44,
28,Ecuador,15-02-06 4:44,
29,Egypt,15-02-06 4:44,
30,Estonia,15-02-06 4:44,
31,Ethiopia,15-02-06 4:44,
32,Faroe Islands,15-02-06 4:44,
33,Finland,15-02-06 4:44,
34,France,15-02-06 4:44,
35,French Guiana,15-02-06 4:44,
36,French Polynesia,15-02-06 4:44,
37,Gambia,15-02-06 4:44,
38,Germany,15-02-06 4:44,
39,Greece,15-02-06 4:44,
40,Greenland,15-02-06 4:44,
41,Holy See (Vatican City State),15-02-06 4:44,
42,Hong Kong,15-02-06 4:44,
43,Hungary,15-02-06 4:44,
44,India,15-02-06 4:44,
45,Indonesia,15-02-06 4:44,
46,Iran,15-02-06 4:44,
47,Iraq,15-02-06 4:44,
48,Israel,15-02-06 4:44,
49,Italy,15-02-06 4:44,
50,Japan,15-02-06 4:44,
51,Kazakstan,15-02-06 4:44,
52,Kenya,15-02-06 4:44,
53,Kuwait,15-02-06 4:44,
54,Latvia,15-02-06 4:44,
55,Liechtenstein,15-02-06 4:44,
56,Lithuania,15-02-06 4:44,
57,Madagascar,15-02-06 4:44,
58,Malawi,15-02-06 4:44,
59,Malaysia,15-02-06 4:44,
60,Mexico,15-02-06 4:44,
61,Moldova,15-02-06 4:44,
62,Morocco,15-02-06 4:44,
63,Mozambique,15-02-06 4:44,
64,Myanmar,15-02-06 4:44,
65,Nauru,15-02-06 4:44,
66,Nepal,15-02-06 4:44,
67,Netherlands,15-02-06 4:44,
68,New Zealand,15-02-06 4:44,
69,Nigeria,15-02-06 4:44,
70,North Korea,15-02-06 4:44,
71,Oman,15-02-06 4:44,
72,Pakistan,15-02-06 4:44,
73,Paraguay,15-02-06 4:44,
74,Peru,15-02-06 4:44,
75,Philippines,15-02-06 4:44,
76,Poland,15-02-06 4:44,
77,Puerto Rico,15-02-06 4:44,
78,Romania,15-02-06 4:44,
79,Runion,15-02-06 4:44,
80,Russian Federation,15-02-06 4:44,
81,Saint Vincent and the Grenadines,15-02-06 4:44,
82,Saudi Arabia,15-02-06 4:44,
83,Senegal,15-02-06 4:44,
84,Slovakia,15-02-06 4:44,
85,South Africa,15-02-06 4:44,
86,South Korea,15-02-06 4:44,
87,Spain,15-02-06 4:44,
88,Sri Lanka,15-02-06 4:44,
89,Sudan,15-02-06 4:44,
90,Sweden,15-02-06 4:44,
91,Switzerland,15-02-06 4:44,
92,Taiwan,15-02-06 4:44,
93,Tanzania,15-02-06 4:44,
94,Thailand,15-02-06 4:44,
95,Tonga,15-02-06 4:44,
96,Tunisia,15-02-06 4:44,
97,Turkey,15-02-06 4:44,
98,Turkmenistan,15-02-06 4:44,
99,Tuvalu,15-02-06 4:44,
100,Ukraine,15-02-06 4:44,
101,United Arab Emirates,15-02-06 4:44,
102,United Kingdom,15-02-06 4:44,
103,United States,15-02-06 4:44,
104,Venezuela,15-02-06 4:44,
105,Vietnam,15-02-06 4:44,
106,Virgin Islands\, U.S.,15-02-06 4:44
107,Yemen,15-02-06 4:44,
108,Yugoslavia,15-02-06 4:44,
109,Zambia,15-02-06 4:44,
